Year,State,Nominal Sales Per Capital FAH ,Nominal Sales Per Capital FAFH,Total nominal food sales per capita,Constant dollar sales per capita FAH,Constant dollar sales per capita FAFH,Total constant dollar food sales per capita
1999,Maryland,"1,657.41","1,157.74","2,815.16","1,176.94",854.11,"2,031.05"
2000,Maryland,"1,672.04","1,192.74","2,864.78","1,161.17",859.62,"2,020.79"
2001,Maryland,"1,701.56","1,223.60","2,925.15","1,144.18",857.01,"2,001.19"
2002,Maryland,"1,707.27","1,274.38","2,981.65","1,133.64",870.55,"2,004.19"
2003,Maryland,"1,786.62","1,376.22","3,162.84","1,161.21",920.50,"2,081.71"
2004,Maryland,"1,881.43","1,481.35","3,362.77","1,178.16",962.28,"2,140.45"
2005,Maryland,"1,974.31","1,580.09","3,554.40","1,212.88",995.11,"2,207.99"
2006,Maryland,"2,050.26","1,677.88","3,728.13","1,238.01","1,024.90","2,262.91"
2007,Maryland,"2,224.06","1,777.70","4,001.75","1,288.60","1,047.73","2,336.34"
2008,Maryland,"2,356.22","1,850.06","4,206.28","1,283.06","1,044.35","2,327.41"
2009,Maryland,"2,234.19","1,794.87","4,029.06","1,210.96",979.14,"2,190.10"
2010,Maryland,"2,222.50","1,802.96","4,025.46","1,200.65",971.19,"2,171.84"
2011,Maryland,"2,357.00","1,905.09","4,262.09","1,214.97","1,002.76","2,217.73"
2012,Maryland,"2,426.29","2,001.48","4,427.77","1,220.61","1,024.35","2,244.95"
2013,Maryland,"2,382.65","2,094.46","4,477.10","1,187.92","1,049.52","2,237.44"
2014,Maryland,"2,489.51","2,292.95","4,782.46","1,212.23","1,121.70","2,333.93"
2015,Maryland,"2,481.90","2,490.90","4,972.80","1,194.59","1,184.65","2,379.25"
2016,Maryland,"2,557.29","2,703.09","5,260.38","1,247.28","1,253.30","2,500.58"
2017,Maryland,"2,541.61","2,866.58","5,408.19","1,242.10","1,298.79","2,540.90"
2018,Maryland,"2,621.22","3,034.88","5,656.10","1,275.28","1,339.83","2,615.10"
2019,Maryland,"2,708.82","3,107.91","5,816.73","1,306.38","1,330.98","2,637.35"
2020,Maryland,"2,925.45","2,608.63","5,534.08","1,363.16","1,080.92","2,444.08"
1997,Massachusetts,"1,324.37","1,166.88","2,491.25",976.73,905.26,"1,881.99"
1998,Massachusetts,"1,320.91","1,220.71","2,541.62",956.04,922.92,"1,878.96"
1999,Massachusetts,"1,383.99","1,259.47","2,643.46",982.78,929.16,"1,911.94"
2000,Massachusetts,"1,397.44","1,317.34","2,714.78",970.47,949.42,"1,919.89"
2001,Massachusetts,"1,520.52","1,356.60","2,877.11","1,022.45",950.16,"1,972.61"
2002,Massachusetts,"1,530.88","1,403.38","2,934.27","1,016.52",958.68,"1,975.20"
2003,Massachusetts,"1,564.52","1,482.10","3,046.61","1,016.85",991.32,"2,008.17"
2004,Massachusetts,"1,640.92","1,580.04","3,220.96","1,027.56","1,026.39","2,053.95"
2005,Massachusetts,"1,700.98","1,668.16","3,369.14","1,044.96","1,050.58","2,095.54"
2006,Massachusetts,"1,743.85","1,777.79","3,521.64","1,052.99","1,085.93","2,138.93"
2007,Massachusetts,"1,840.48","1,861.73","3,702.21","1,066.36","1,097.26","2,163.62"
2008,Massachusetts,"1,936.41","1,897.18","3,833.58","1,054.45","1,070.94","2,125.40"
2009,Massachusetts,"1,876.20","1,855.07","3,731.27","1,016.93","1,011.98","2,028.91"
2010,Massachusetts,"1,904.55","1,882.51","3,787.05","1,028.88","1,014.04","2,042.93"
2011,Massachusetts,"1,960.63","1,982.74","3,943.37","1,010.65","1,043.63","2,054.28"
2012,Massachusetts,"2,073.55","2,084.40","4,157.95","1,043.16","1,066.78","2,109.94"
2013,Massachusetts,"2,131.67","2,190.98","4,322.65","1,062.79","1,097.89","2,160.67"
2014,Massachusetts,"2,234.65","2,311.68","4,546.32","1,088.13","1,130.86","2,218.99"
2015,Massachusetts,"2,269.09","2,534.62","4,803.71","1,092.16","1,205.45","2,297.61"
2016,Massachusetts,"2,334.96","2,676.81","5,011.77","1,138.84","1,241.12","2,379.96"
2017,Massachusetts,"2,428.87","2,833.20","5,262.07","1,187.01","1,283.67","2,470.68"
2018,Massachusetts,"2,457.45","2,948.50","5,405.94","1,195.60","1,301.69","2,497.29"
2019,Massachusetts,"2,550.27","3,023.29","5,573.56","1,229.91","1,294.74","2,524.65"
2020,Massachusetts,"2,673.69","2,557.01","5,230.70","1,245.85","1,059.53","2,305.38"
1997,Michigan,"1,192.92",979.33,"2,172.25",879.78,759.76,"1,639.55"
1998,Michigan,"1,239.68","1,006.39","2,246.07",897.24,760.88,"1,658.13"
1999,Michigan,"1,311.80","1,033.39","2,345.19",931.52,762.37,"1,693.89"
2000,Michigan,"1,352.72","1,067.11","2,419.83",939.41,769.08,"1,708.49"
2001,Michigan,"1,397.29","1,080.78","2,478.08",939.59,756.98,"1,696.57"
2002,Michigan,"1,408.10","1,107.97","2,516.07",934.99,756.88,"1,691.87"
2003,Michigan,"1,466.42","1,159.20","2,625.62",953.09,775.35,"1,728.44"
2004,Michigan,"1,457.59","1,235.77","2,693.37",912.76,802.76,"1,715.52"
2005,Michigan,"1,479.72","1,289.16","2,768.88",909.04,811.89,"1,720.93"
2006,Michigan,"1,536.65","1,345.29","2,881.94",927.88,821.75,"1,749.63"
2007,Michigan,"1,600.93","1,422.37","3,023.30",927.57,838.31,"1,765.88"
2008,Michigan,"1,632.58","1,465.96","3,098.54",889.01,827.52,"1,716.53"
2009,Michigan,"1,618.47","1,442.65","3,061.13",877.23,787.00,"1,664.23"
2010,Michigan,"1,674.27","1,475.41","3,149.68",904.48,794.76,"1,699.24"
2011,Michigan,"1,733.10","1,546.64","3,279.73",893.36,814.09,"1,707.45"
2012,Michigan,"1,863.95","1,627.83","3,491.78",937.71,833.12,"1,770.83"
2013,Michigan,"1,922.03","1,710.55","3,632.59",958.27,857.15,"1,815.42"
2014,Michigan,"2,044.71","1,793.21","3,837.92",995.65,877.23,"1,872.87"
2015,Michigan,"2,099.61","1,941.39","4,041.00","1,010.59",923.31,"1,933.90"
2016,Michigan,"2,172.11","2,061.08","4,233.19","1,059.41",955.63,"2,015.04"
2017,Michigan,"2,276.86","2,185.04","4,461.90","1,112.71",990.00,"2,102.71"
2018,Michigan,"2,330.16","2,282.34","4,612.50","1,133.67","1,007.60","2,141.27"
2019,Michigan,"2,406.50","2,335.44","4,741.94","1,160.58","1,000.16","2,160.74"
2020,Michigan,"2,496.26","1,979.61","4,475.87","1,163.17",820.28,"1,983.45"
1997,Minnesota,"1,509.67","1,042.46","2,552.13","1,113.39",808.74,"1,922.13"
1998,Minnesota,"1,499.23","1,073.67","2,572.90","1,085.10",811.75,"1,896.85"
1999,Minnesota,"1,597.87","1,146.18","2,744.05","1,134.66",845.58,"1,980.24"
2000,Minnesota,"1,596.07","1,180.43","2,776.50","1,108.41",850.75,"1,959.15"
2001,Minnesota,"1,652.62","1,220.00","2,872.63","1,111.28",854.49,"1,965.77"
2002,Minnesota,"1,603.45","1,262.19","2,865.64","1,064.71",862.23,"1,926.93"
2003,Minnesota,"1,697.52","1,313.41","3,010.93","1,103.30",878.49,"1,981.78"
2004,Minnesota,"1,693.11","1,359.50","3,052.61","1,060.24",883.13,"1,943.37"
2005,Minnesota,"1,792.30","1,401.43","3,193.73","1,101.07",882.60,"1,983.66"
2006,Minnesota,"1,806.51","1,455.42","3,261.93","1,090.83",889.02,"1,979.84"
2007,Minnesota,"1,892.85","1,517.29","3,410.14","1,096.71",894.26,"1,990.96"
2008,Minnesota,"2,083.26","1,542.44","3,625.71","1,134.42",870.70,"2,005.12"
2009,Minnesota,"2,050.35","1,526.30","3,576.65","1,111.32",832.63,"1,943.95"
2010,Minnesota,"2,091.71","1,541.23","3,632.95","1,129.99",830.21,"1,960.21"
2011,Minnesota,"2,229.48","1,641.82","3,871.30","1,149.23",864.18,"2,013.42"
2012,Minnesota,"2,418.78","1,729.67","4,148.45","1,216.83",885.24,"2,102.07"
2013,Minnesota,"2,350.37","1,816.39","4,166.76","1,171.83",910.18,"2,082.01"
2014,Minnesota,"2,375.71","1,952.20","4,327.90","1,156.82",955.00,"2,111.82"
2015,Minnesota,"2,319.40","2,108.39","4,427.79","1,116.38","1,002.74","2,119.11"
2016,Minnesota,"2,339.79","2,269.92","4,609.71","1,141.19","1,052.46","2,193.66"
2017,Minnesota,"2,453.35","2,382.17","4,835.53","1,198.97","1,079.32","2,278.29"
2018,Minnesota,"2,509.50","2,539.75","5,049.25","1,220.93","1,121.24","2,342.16"
2019,Minnesota,"2,609.41","2,701.10","5,310.51","1,258.43","1,156.76","2,415.19"
2020,Minnesota,"2,793.61","2,172.61","4,966.22","1,301.73",900.25,"2,201.98"
1997,Mississippi,"1,262.23",805.37,"2,067.59",930.90,624.80,"1,555.70"
1998,Mississippi,"1,292.21",853.43,"2,145.64",935.26,645.24,"1,580.50"
1999,Mississippi,"1,367.32",893.29,"2,260.61",970.95,659.01,"1,629.96"
2000,Mississippi,"1,430.98",964.90,"2,395.88",993.76,695.41,"1,689.17"
2001,Mississippi,"1,447.47",976.21,"2,423.68",973.33,683.74,"1,657.07"
2002,Mississippi,"1,463.25",999.60,"2,462.85",971.61,682.85,"1,654.46"
2003,Mississippi,"1,516.20","1,038.24","2,554.44",985.45,694.44,"1,679.89"
2004,Mississippi,"1,592.48","1,126.52","2,719.01",997.23,731.79,"1,729.02"
2005,Mississippi,"1,705.80","1,175.14","2,880.94","1,047.92",740.08,"1,788.01"
2006,Mississippi,"1,813.18","1,236.88","3,050.06","1,094.86",755.53,"1,850.38"
2007,Mississippi,"1,818.02","1,277.84","3,095.85","1,053.35",753.13,"1,806.47"
2008,Mississippi,"1,790.88","1,294.34","3,085.23",975.21,730.65,"1,705.86"
2009,Mississippi,"1,677.25","1,251.35","2,928.60",909.09,682.64,"1,591.73"
2010,Mississippi,"1,761.01","1,268.16","3,029.18",951.34,683.12,"1,634.46"
2011,Mississippi,"1,810.71","1,344.32","3,155.02",933.37,707.59,"1,640.96"
2012,Mississippi,"1,920.40","1,417.54","3,337.94",966.11,725.49,"1,691.60"
2013,Mississippi,"1,896.67","1,484.53","3,381.20",945.62,743.89,"1,689.51"
2014,Mississippi,"1,892.53","1,621.27","3,513.80",921.54,793.11,"1,714.66"
2015,Mississippi,"1,877.84","1,756.34","3,634.19",903.84,835.31,"1,739.15"
2016,Mississippi,"1,898.00","1,843.43","3,741.43",925.72,854.72,"1,780.43"
2017,Mississippi,"1,950.68","1,936.30","3,886.98",953.31,877.30,"1,830.61"
2018,Mississippi,"2,010.82","2,038.81","4,049.63",978.30,900.08,"1,878.39"
2019,Mississippi,"2,007.84","2,030.08","4,037.92",968.32,869.39,"1,837.71"
2020,Mississippi,"2,141.05","1,791.01","3,932.07",997.66,742.13,"1,739.79"
1997,Missouri,"1,352.44","1,096.87","2,449.31",997.43,850.95,"1,848.39"
1998,Missouri,"1,334.47","1,149.84","2,484.31",965.85,869.34,"1,835.19"
1999,Missouri,"1,358.54","1,275.86","2,634.40",964.71,941.25,"1,905.96"
2000,Missouri,"1,354.48","1,273.46","2,627.93",940.63,917.79,"1,858.43"
2001,Missouri,"1,391.32","1,282.08","2,673.41",935.57,897.97,"1,833.55"
2002,Missouri,"1,383.03","1,291.30","2,674.33",918.34,882.11,"1,800.46"
2003,Missouri,"1,493.41","1,344.18","2,837.60",970.63,899.08,"1,869.71"
2004,Missouri,"1,587.96","1,391.05","2,979.01",994.39,903.63,"1,898.02"
2005,Missouri,"1,719.22","1,453.57","3,172.78","1,056.17",915.43,"1,971.60"
2006,Missouri,"1,783.51","1,525.39","3,308.90","1,076.94",931.76,"2,008.70"
2007,Missouri,"1,872.95","1,599.36","3,472.31","1,085.17",942.63,"2,027.80"
2008,Missouri,"1,873.61","1,612.89","3,486.50","1,020.26",910.46,"1,930.72"
2009,Missouri,"1,764.17","1,605.43","3,369.60",956.20,875.80,"1,832.00"
2010,Missouri,"1,793.78","1,618.00","3,411.78",969.04,871.56,"1,840.61"
2011,Missouri,"1,879.60","1,698.52","3,578.12",968.88,894.03,"1,862.91"
2012,Missouri,"2,005.65","1,813.53","3,819.18","1,008.99",928.16,"1,937.15"
2013,Missouri,"2,051.30","1,918.75","3,970.06","1,022.72",961.48,"1,984.19"
2014,Missouri,"2,120.61","2,052.97","4,173.58","1,032.60","1,004.30","2,036.91"
2015,Missouri,"2,210.02","2,202.31","4,412.33","1,063.73","1,047.40","2,111.13"
2016,Missouri,"2,287.04","2,332.57","4,619.61","1,115.46","1,081.51","2,196.97"
2017,Missouri,"2,421.38","2,468.43","4,889.81","1,183.34","1,118.40","2,301.74"
2018,Missouri,"2,598.79","2,616.36","5,215.15","1,264.36","1,155.06","2,419.42"
2019,Missouri,"2,583.66","2,649.86","5,233.52","1,246.01","1,134.81","2,380.83"
2020,Missouri,"2,814.45","2,279.76","5,094.21","1,311.44",944.65,"2,256.09"
1997,Montana,"1,593.51",899.99,"2,493.50","1,175.22",698.21,"1,873.43"
1998,Montana,"1,619.57",960.83,"2,580.40","1,172.20",726.44,"1,898.64"
1999,Montana,"1,584.60","1,012.98","2,597.58","1,125.24",747.31,"1,872.55"
2000,Montana,"1,536.02","1,055.80","2,591.82","1,066.71",760.92,"1,827.63"
2001,Montana,"1,511.78","1,090.33","2,602.11","1,016.57",763.67,"1,780.24"
2002,Montana,"1,695.68","1,123.29","2,818.97","1,125.95",767.34,"1,893.29"
2003,Montana,"1,845.50","1,193.03","3,038.54","1,199.48",797.98,"1,997.45"
2004,Montana,"1,979.59","1,277.99","3,257.58","1,239.64",830.18,"2,069.82"
2005,Montana,"2,084.06","1,345.31","3,429.37","1,280.30",847.25,"2,127.55"
2006,Montana,"2,163.34","1,413.09","3,576.44","1,306.30",863.16,"2,169.46"
2007,Montana,"2,336.40","1,477.60","3,814.00","1,353.69",870.87,"2,224.56"
2008,Montana,"2,447.00","1,492.60","3,939.60","1,332.49",842.56,"2,175.06"
2009,Montana,"2,150.88","1,399.39","3,550.28","1,165.81",763.40,"1,929.21"
2010,Montana,"2,149.74","1,419.67","3,569.41","1,161.34",764.73,"1,926.07"
2011,Montana,"2,247.58","1,508.93","3,756.51","1,158.56",794.24,"1,952.80"
2012,Montana,"2,317.99","1,601.03","3,919.02","1,166.13",819.40,"1,985.52"
2013,Montana,"2,366.83","1,682.32","4,049.14","1,180.03",843.00,"2,023.03"
2014,Montana,"2,499.92","1,823.28","4,323.20","1,217.30",891.94,"2,109.24"
2015,Montana,"2,515.49","1,938.94","4,454.43","1,210.76",922.15,"2,132.91"
2016,Montana,"2,579.85","2,100.60","4,680.45","1,258.28",973.96,"2,232.24"
2017,Montana,"2,608.51","2,249.01","4,857.52","1,274.80","1,018.98","2,293.78"
2018,Montana,"2,685.02","2,372.07","5,057.09","1,306.32","1,047.21","2,353.53"
2019,Montana,"2,737.65","2,466.67","5,204.32","1,320.28","1,056.36","2,376.64"
2020,Montana,"2,861.43","2,016.04","4,877.47","1,333.33",835.38,"2,168.70"
1997,Nebraska,"1,410.16",847.70,"2,257.86","1,040.00",657.64,"1,697.64"
1998,Nebraska,"1,385.26",869.17,"2,254.43","1,002.62",657.14,"1,659.75"
1999,Nebraska,"1,474.21",924.08,"2,398.29","1,046.85",681.72,"1,728.58"
2000,Nebraska,"1,466.83",959.32,"2,426.14","1,018.65",691.39,"1,710.04"
2001,Nebraska,"1,518.08",983.01,"2,501.10","1,020.81",688.51,"1,709.32"
2002,Nebraska,"1,493.74","1,018.33","2,512.07",991.86,695.64,"1,687.50"
2003,Nebraska,"1,543.66","1,065.71","2,609.37","1,003.29",712.82,"1,716.11"
2004,Nebraska,"1,597.99","1,175.09","2,773.07","1,000.67",763.34,"1,764.01"
2005,Nebraska,"1,725.33","1,227.02","2,952.35","1,059.92",772.75,"1,832.68"
2006,Nebraska,"1,710.83","1,278.47","2,989.30","1,033.05",780.93,"1,813.98"
2007,Nebraska,"1,753.31","1,336.83","3,090.14","1,015.86",787.90,"1,803.75"
2008,Nebraska,"1,732.50","1,378.79","3,111.29",943.42,778.32,"1,721.74"
2009,Nebraska,"1,607.71","1,361.58","2,969.29",871.40,742.77,"1,614.17"
2010,Nebraska,"1,624.84","1,391.51","3,016.34",877.78,749.56,"1,627.34"
2011,Nebraska,"1,715.01","1,464.88","3,179.89",884.04,771.05,"1,655.09"
2012,Nebraska,"1,805.08","1,540.07","3,345.15",908.09,788.20,"1,696.29"
2013,Nebraska,"1,905.29","1,630.30","3,535.59",949.92,816.93,"1,766.85"
2014,Nebraska,"2,011.85","1,794.90","3,806.75",979.65,878.05,"1,857.70"
2015,Nebraska,"2,048.71","1,931.29","3,980.00",986.09,918.51,"1,904.59"
2016,Nebraska,"2,161.82","2,079.08","4,240.90","1,054.39",963.98,"2,018.37"
2017,Nebraska,"2,347.38","2,261.36","4,608.74","1,147.18","1,024.58","2,171.76"
2018,Nebraska,"2,408.73","2,430.14","4,838.87","1,171.90","1,072.85","2,244.74"
2019,Nebraska,"2,521.58","2,483.13","5,004.71","1,216.07","1,063.41","2,279.49"
2020,Nebraska,"2,663.99","2,119.37","4,783.36","1,241.33",878.19,"2,119.52"
1997,Nevada,"1,497.38","1,824.10","3,321.48","1,104.33","1,415.13","2,519.46"
1998,Nevada,"1,438.06","1,931.48","3,369.54","1,040.83","1,460.30","2,501.13"
1999,Nevada,"1,451.05","2,038.68","3,489.73","1,030.41","1,504.00","2,534.41"
2000,Nevada,"1,379.43","2,051.21","3,430.65",957.96,"1,478.33","2,436.29"
2001,Nevada,"1,404.94","2,027.01","3,431.96",944.73,"1,419.73","2,364.46"
2002,Nevada,"1,463.80","1,995.36","3,459.16",971.98,"1,363.07","2,335.05"
2003,Nevada,"1,499.41","1,961.84","3,461.25",974.53,"1,312.20","2,286.74"
2004,Nevada,"1,586.95","2,001.10","3,588.05",993.76,"1,299.91","2,293.68"
2005,Nevada,"1,659.23","1,999.28","3,658.51","1,019.32","1,259.11","2,278.43"
2006,Nevada,"1,719.50","2,140.69","3,860.18","1,038.29","1,307.60","2,345.89"
2007,Nevada,"1,835.79","2,177.50","4,013.29","1,063.64","1,283.37","2,347.01"
2008,Nevada,"1,939.94","2,095.24","4,035.18","1,056.38","1,182.75","2,239.13"
2009,Nevada,"2,006.51","2,093.10","4,099.61","1,087.55","1,141.84","2,229.39"
2010,Nevada,"2,047.36","2,163.66","4,211.03","1,106.04","1,165.49","2,271.53"
2011,Nevada,"2,291.12","2,375.20","4,666.31","1,181.00","1,250.21","2,431.21"
2012,Nevada,"2,708.37","2,602.99","5,311.36","1,362.52","1,332.20","2,694.72"
2013,Nevada,"2,823.49","2,799.92","5,623.41","1,407.71","1,403.02","2,810.73"
2014,Nevada,"2,861.49","2,987.34","5,848.83","1,393.37","1,461.39","2,854.76"
2015,Nevada,"2,836.98","3,227.29","6,064.27","1,365.50","1,534.88","2,900.38"
2016,Nevada,"2,575.72","3,260.42","5,836.14","1,256.26","1,511.71","2,767.98"
2017,Nevada,"2,525.35","3,390.47","5,915.82","1,234.15","1,536.16","2,770.31"
2018,Nevada,"2,584.24","3,501.65","6,085.89","1,257.29","1,545.89","2,803.18"
2019,Nevada,"2,605.50","3,627.97","6,233.47","1,256.55","1,553.70","2,810.24"
2020,Nevada,"2,792.79","2,855.45","5,648.24","1,301.34","1,183.20","2,484.54"
1997,New Hampshire,"1,643.35","1,114.11","2,757.46","1,211.99",864.32,"2,076.31"
1998,New Hampshire,"1,651.83","1,167.19","2,819.01","1,195.55",882.45,"2,078.00"
1999,New Hampshire,"1,709.80","1,212.72","2,922.53","1,214.15",894.67,"2,108.82"
2000,New Hampshire,"1,851.60","1,254.13","3,105.73","1,285.87",903.86,"2,189.73"
2001,New Hampshire,"1,969.97","1,288.20","3,258.17","1,324.67",902.26,"2,226.93"
2002,New Hampshire,"1,951.83","1,358.70","3,310.54","1,296.03",928.16,"2,224.19"
2003,New Hampshire,"2,014.79","1,418.19","3,432.98","1,309.50",948.58,"2,258.08"
2004,New Hampshire,"2,085.42","1,489.65","3,575.07","1,305.91",967.68,"2,273.58"
2005,New Hampshire,"2,217.17","1,519.20","3,736.36","1,362.07",956.76,"2,318.84"
2006,New Hampshire,"2,235.33","1,571.85","3,807.18","1,349.76",960.14,"2,309.90"
2007,New Hampshire,"2,383.68","1,702.10","4,085.78","1,381.09","1,003.18","2,384.27"
2008,New Hampshire,"2,434.49","1,729.72","4,164.22","1,325.68",976.42,"2,302.10"
2009,New Hampshire,"2,351.81","1,666.72","4,018.53","1,274.71",909.23,"2,183.95"
2010,New Hampshire,"2,399.38","1,697.43","4,096.81","1,296.21",914.35,"2,210.55"
2011,New Hampshire,"2,490.14","1,771.69","4,261.83","1,283.59",932.55,"2,216.14"
2012,New Hampshire,"2,692.29","1,855.58","4,547.87","1,354.43",949.67,"2,304.10"
2013,New Hampshire,"2,717.39","1,915.76","4,633.14","1,354.81",959.98,"2,314.78"
2014,New Hampshire,"2,702.51","2,021.23","4,723.75","1,315.95",988.78,"2,304.73"
2015,New Hampshire,"2,744.67","2,135.55","4,880.22","1,321.07","1,015.65","2,336.72"
2016,New Hampshire,"2,845.39","2,422.31","5,267.70","1,387.79","1,123.12","2,510.91"
2017,New Hampshire,"3,102.97","2,584.79","5,687.76","1,516.44","1,171.12","2,687.56"
2018,New Hampshire,"3,133.79","2,690.72","5,824.51","1,524.65","1,187.89","2,712.54"
2019,New Hampshire,"3,248.57","2,777.08","6,025.65","1,566.68","1,189.30","2,755.98"
2020,New Hampshire,"3,434.81","2,322.64","5,757.45","1,600.50",962.42,"2,562.92"
1997,New Jersey,"1,461.45","1,054.44","2,515.89","1,077.83",818.03,"1,895.86"
1998,New Jersey,"1,496.28","1,123.32","2,619.59","1,082.97",849.28,"1,932.25"
1999,New Jersey,"1,638.23","1,173.14","2,811.36","1,163.32",865.46,"2,028.78"
2000,New Jersey,"1,691.81","1,217.72","2,909.53","1,174.90",877.62,"2,052.52"
2001,New Jersey,"1,789.95","1,241.31","3,031.26","1,203.62",869.42,"2,073.04"
2002,New Jersey,"1,795.61","1,246.40","3,042.01","1,192.30",851.44,"2,043.74"
2003,New Jersey,"1,910.72","1,304.06","3,214.78","1,241.86",872.24,"2,114.10"
2004,New Jersey,"2,036.13","1,410.05","3,446.18","1,275.04",915.97,"2,191.01"
2005,New Jersey,"2,115.74","1,484.88","3,600.62","1,299.76",935.15,"2,234.92"
2006,New Jersey,"2,179.25","1,565.56","3,744.81","1,315.90",956.30,"2,272.20"
2007,New Jersey,"2,386.34","1,703.04","4,089.38","1,382.63","1,003.73","2,386.36"
2008,New Jersey,"2,471.36","1,700.15","4,171.51","1,345.76",959.72,"2,305.48"
2009,New Jersey,"2,468.20","1,625.59","4,093.80","1,337.80",886.80,"2,224.60"
2010,New Jersey,"2,476.01","1,660.53","4,136.53","1,337.60",894.47,"2,232.07"
2011,New Jersey,"2,554.36","1,759.78","4,314.14","1,316.70",926.27,"2,242.97"
2012,New Jersey,"2,662.80","1,869.60","4,532.41","1,339.59",956.85,"2,296.45"
2013,New Jersey,"2,630.75","2,012.27","4,643.02","1,311.61","1,008.34","2,319.95"
2014,New Jersey,"2,615.16","2,146.24","4,761.40","1,273.42","1,049.93","2,323.35"
2015,New Jersey,"2,689.02","2,354.24","5,043.26","1,294.28","1,119.66","2,413.94"
2016,New Jersey,"2,612.09","2,513.53","5,125.62","1,274.01","1,165.41","2,439.42"
2017,New Jersey,"2,604.05","2,714.35","5,318.40","1,272.62","1,229.82","2,502.44"
2018,New Jersey,"2,550.68","2,826.82","5,377.51","1,240.96","1,247.97","2,488.93"
2019,New Jersey,"2,448.49","2,902.76","5,351.25","1,180.82","1,243.12","2,423.95"
2020,New Jersey,"2,545.68","2,495.27","5,040.95","1,186.20","1,033.95","2,220.15"
1997,New Mexico,"1,314.30",963.09,"2,277.39",969.31,747.16,"1,716.47"
1998,New Mexico,"1,337.18","1,009.25","2,346.44",967.82,763.05,"1,730.87"
1999,New Mexico,"1,344.34","1,052.44","2,396.78",954.63,776.42,"1,731.05"
2000,New Mexico,"1,351.82","1,083.03","2,434.84",938.78,780.55,"1,719.33"
2001,New Mexico,"1,306.85","1,107.93","2,414.77",878.77,775.99,"1,654.76"
2002,New Mexico,"1,216.81","1,182.12","2,398.94",807.97,807.53,"1,615.50"
2003,New Mexico,"1,323.40","1,234.14","2,557.54",860.14,825.47,"1,685.61"
2004,New Mexico,"1,381.56","1,301.52","2,683.08",865.15,845.47,"1,710.61"
2005,New Mexico,"1,418.18","1,340.38","2,758.55",871.23,844.15,"1,715.38"
2006,New Mexico,"1,516.80","1,411.96","2,928.75",915.89,862.47,"1,778.36"
2007,New Mexico,"1,560.79","1,457.75","3,018.54",904.31,859.16,"1,763.47"
2008,New Mexico,"1,665.24","1,457.55","3,122.79",906.79,822.78,"1,729.57"
2009,New Mexico,"1,565.53","1,422.95","2,988.48",848.54,776.25,"1,624.79"
2010,New Mexico,"1,635.45","1,415.43","3,050.88",883.51,762.45,"1,645.95"
2011,New Mexico,"1,684.19","1,492.03","3,176.22",868.15,785.34,"1,653.49"
2012,New Mexico,"1,905.18","1,572.12","3,477.30",958.45,804.60,"1,763.05"
2013,New Mexico,"1,917.19","1,677.07","3,594.27",955.85,840.37,"1,796.23"
2014,New Mexico,"1,927.11","1,906.46","3,833.56",938.38,932.63,"1,871.01"
2015,New Mexico,"1,921.84","2,136.67","4,058.51",925.02,"1,016.18","1,941.21"
2016,New Mexico,"1,918.42","2,247.01","4,165.42",935.68,"1,041.84","1,977.51"
2017,New Mexico,"1,966.11","2,478.63","4,444.73",960.85,"1,123.02","2,083.87"
2018,New Mexico,"2,062.34","2,622.90","4,685.24","1,003.37","1,157.95","2,161.32"
2019,New Mexico,"2,147.66","2,654.05","4,801.71","1,035.75","1,136.61","2,172.36"
2020,New Mexico,"2,226.57","2,202.20","4,428.77","1,037.50",912.51,"1,950.02"
1997,New York,"1,256.72","1,102.10","2,358.82",926.84,855.01,"1,781.85"
1998,New York,"1,279.03","1,140.41","2,419.44",925.73,862.21,"1,787.94"
1999,New York,"1,346.87","1,167.65","2,514.52",956.42,861.42,"1,817.84"
2000,New York,"1,330.38","1,182.24","2,512.62",923.89,852.06,"1,775.95"
2001,New York,"1,427.95","1,218.49","2,646.44",960.20,853.43,"1,813.64"
2002,New York,"1,426.96","1,244.08","2,671.03",947.51,849.85,"1,797.36"
2003,New York,"1,502.81","1,346.72","2,849.53",976.74,900.77,"1,877.51"
2004,New York,"1,577.22","1,443.17","3,020.40",987.67,937.48,"1,925.16"
2005,New York,"1,632.05","1,545.50","3,177.55","1,002.62",973.33,"1,975.95"
2006,New York,"1,704.79","1,679.57","3,384.36","1,029.41","1,025.94","2,055.34"
2007,New York,"1,811.37","1,767.57","3,578.94","1,049.49","1,041.76","2,091.26"
2008,New York,"1,895.97","1,792.01","3,687.98","1,032.44","1,011.58","2,044.01"
2009,New York,"1,773.75","1,716.55","3,490.30",961.40,936.42,"1,897.81"
2010,New York,"1,815.80","1,780.41","3,596.22",980.94,959.05,"1,939.99"
2011,New York,"1,931.72","1,905.16","3,836.89",995.75,"1,002.80","1,998.55"
2012,New York,"1,987.63","2,024.35","4,011.98",999.93,"1,036.05","2,035.98"
2013,New York,"2,030.49","2,137.06","4,167.55","1,012.34","1,070.87","2,083.21"
2014,New York,"2,095.77","2,261.78","4,357.56","1,020.51","1,106.45","2,126.96"
2015,New York,"2,128.89","2,445.18","4,574.07","1,024.68","1,162.91","2,187.59"
2016,New York,"2,153.42","2,653.49","4,806.91","1,050.30","1,230.31","2,280.60"
2017,New York,"2,238.15","2,894.16","5,132.31","1,093.80","1,311.29","2,405.09"
